CTYNAME,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015
Miller County,6144,6059,5964,5882,5923,5854
Mitchell County,23495,23429,23101,23026,22778,22574
Monroe County,26470,26677,26740,26999,27056,27103
Montgomery County,9093,9041,8910,8961,8975,8951
Morgan County,17901,17911,17830,17734,17981,18046
Murray County,39541,39425,39380,39258,39375,39565
Muscogee County,191124,195357,200195,204207,201087,200579
Newton County,100171,100500,101100,102312,103839,105473
Oconee County,32929,33262,33536,34088,35147,35965
Oglethorpe County,14907,14785,14598,14507,14680,14871
Paulding County,142768,143787,144981,147071,148921,152238
Peach County,27750,27550,27473,26861,26828,26720
Pickens County,29461,29480,29333,29534,30046,30309
Pierce County,18810,18732,18850,18982,19001,19103
Pike County,17906,17788,17787,17786,17760,17941
Polk County,41536,41280,41113,41117,41042,41524
Pulaski County,11924,11857,11688,11529,11478,11396
Putnam County,21198,21255,21161,21295,21173,21353
Quitman County,2507,2461,2402,2367,2303,2302
Rabun County,16268,16283,16308,16226,16230,16281
Randolph County,7671,7581,7309,7191,7300,7193
Richmond County,200933,200509,201850,201156,201149,201793
Rockdale County,85407,85575,85636,86759,87681,88856
Schley County,5013,5018,4984,5057,5143,5168
Screven County,14504,14390,14202,14204,14074,14162
Seminole County,8725,8769,8902,8875,8651,8647
Spalding County,64077,64086,63730,63626,63872,64051
Stephens County,26149,25741,25721,25597,25455,25586
Stewart County,6101,6071,6106,5507,5803,5851
Sumter County,32719,32106,31650,31379,31233,30779
Talbot County,6835,6761,6538,6437,6377,6337
Taliaferro County,1699,1706,1672,1689,1693,1639
Tattnall County,25496,25286,25305,25495,25195,25229
Taylor County,8771,8466,8372,8416,8421,8330
Telfair County,16489,16295,16342,16573,16470,16400
Terrell County,9517,9384,9233,9217,9120,9113
Thomas County,44755,44614,44561,44893,44990,45063
Tift County,40242,41371,40967,40216,40619,40764
Toombs County,27303,27206,27172,27236,27193,27241
Towns County,10540,10486,10498,10748,11087,11182
Treutlen County,6888,6821,6753,6645,6808,6785
Troup County,67087,67710,68417,68957,69489,69763
Turner County,8947,8854,8368,8124,8128,8214
Twiggs County,8956,8811,8508,8484,8354,8390
Union County,21320,21360,21468,21576,21952,22267
Upson County,27064,26934,26598,26498,26240,26368
Walker County,68888,68617,68187,68295,68261,68066
Walton County,83974,84420,84817,85920,87449,88399
Ware County,36371,36188,35820,35722,35515,35370
